BMQDV;yCeTE 2;biGQs 4
primadi_w;saya mencoba menggunakakn akses pintu masuk yang lain, yakni dari hotel manohara, ternyata sangat dekat untuk masuk ke candi dari sanaini kunjungan saya yang ketiga ke borobudur, keberishan lebih terjaga kali ini, dan ada batu2 baru sumbangan dari unescohanya saja pedagang asongan tetap masuk ke area terlarang dan cukup mengganggu;Ditulis pada 29 Mei 2014
Dyandra66;Beberapa kali ke borobudur selalu terkagum kagum.sangat indah dan megah.dari puncak pemandangannya sangat indah....klu merasa capai,dari depan bisa naik kreta,byr 7500 sdh dpt air mineral..turun pas depan candi,tp pulangnya tetap jln kaki.Ada film ttg borobudur jg,byr 5000 klu ga salah...perlu ditonton spy tau candi lbh detail...;Ditulis pada 29 Mei 2014
Travellermom0571;Candi yang sangat megah, indah dan mengagumkan, dikelilingi taman luas dengan pohon-pohon sejuk. Sangat meriah pada perayaan Waisak setiap tahun dengan pengunjung yang luar biasa banyak. Jika menginginkan tambahan pengetahuan, anda dapat memakai jasa guide yang akan menerangkan setiap detil candi dan makna yang terkandung di tiap relief. Paling nyaman dikunjungi pada saat menjelang sore karena udara menjadi tidak terlalu panas. Sangat nyaman untuk membawa keluarga dan teman, namun adanya pedagang asongan cukup mengganggu kenyamanan pengunjung.;Ditulis pada 29 Mei 2014
Yanti Yanda K;kesan pertama melihat candi borobudur adaah woooowwwwww amazing. memang sepatut nya kita sebagai bangsa indonesia harus berbangga mempunyai candi yang indah, megah menawan bahkan diakui oleh dunia. Perayaan waisak tahun 2014 bahkan di kunjungi lebih dari 2.000 pengunjung baik dari dalam negeri maupun manca negara. susunan batu yang bahkan mungkin tidak bisa kita bangun di era modern ini. sekali datang pasti akan datang lagi.;Ditulis pada 15 Mei 2014
Paulus J A;Saya sangat takjub melihat langsung candi borobudur. Pengunjungnya dari manca negara dan dalam negeri. Saya juga senang dengan tata kelola pintu masuk, keluar dan parkiran yang cukup baik.Sayangnya sangat banyak pedagang asongan yang menawarkan produk belanjaan mereka di lingkungan sekitar candi. Padahal pemerintah setempat telah mengatur tempat khusus seperti pasar yang posisinya sebelum pintu keluar.;Ditulis pada 11 Mei 2014
Den323;Candi Borobudur merupakan tempat wisata yang tak kan pernah terlupakan karena keistimewahannya yang sangat luar biasa.Merupakan salah satu keajaiban dunia yang berada di Indonesia.Pertama kalinya saya melihat bangunan yang sangat megah dan luas yang terbuat dari batu-batu yang disusun sedemikian rupa sehingga menjadi sebuah karya yang sangat luar biasa.Relief yang di ukir pada dingding batu candi sangat detail, sungguh sebuah maha karya bangsa Indonesia.;Ditulis pada 9 Mei 2014
n0nik2014;candi borobudur memang bukan baru pertama kali ini kami kunjungi, namun aroma keajaiban dunia yang membuat kami selalu ingin mengunjunginya, pengalaman seru yang kami dapatkan di candi ini adalah hasil foto2 unik dan berkesan .... (fotona bagus krn ditunjang android samsung yang terbaru...hehe) , selain itu mulai sejak pertama kali mengunjungi candi ini banyak mitos beredar untuk memasukkan tangan ke sebuah candi yang ada disana, menyentuh bagian dalamnya sambil berdoa meminta hal-hal yang kita inginkan....... (tentunya sambil berdoa kepada Allah / tuhan YME...... agar tidak musrik...... ), hahahaha... hari gini percaya mitos... tapi karena saat melakukannya dgn keyakinan Allah, sepulang dari mengunjungi candi tersebut, keinginanku terkabulkan...... Syukur alhamdulillah...;Ditulis pada 7 Mei 2014
Radoku;Saya sudah tiga kali ke Borobudur, tapi kali ini saya membawa teman saya yang bukan orang Indonesia, ternyata dia terpukau,, karena kemegahan candi yang dibuat ratusan tahun lalu dan unik.. jangan lupa bawa payung dikala musim hujan karena sangat sulit jika di atas ternyata hujan deras;Ditulis pada 7 Mei 2014
deni_prasetio;salah satu wisata budaya yang sangat terkenal dan wajib untuk dikunjungi. penataan sekarang sudah jauh lebih bagus. konsep yang ditawarkan juga lebih baik. sehingga menarik untuk wisatawan berkunjung kesini.;Ditulis pada 6 Mei 2014
;;
Andy W;Candi Borobudur merupakan salah satu objek wisata yg harus anda kunjungi, jangan lupa pula untuk menanyakan dan mengetahui sejarah dari candi borobudur dan stupa yang diyakini mengabulkan permohonan anda apabila dapat disentuh , walaupun memang sekarang ini sudah dilarang untuk memegang stupa lagi tapi setidaknya anda hrs tau sejarah dibalik itu.Sayangnya masih ada beberapa orang yg tidak mengerti arti sejarah, dan nilai dari candi borobudur sendiri, mereka mencoba memanjat dan memegang stupa, ada juga yg membuang sampah sembarangan, mudah2an para wisatawan yg berkunjung dpt menyadari hal tsb.;Ditulis pada 6 Mei 2014
triyono88;sengaja ke candi borobudur bersama teman2 untuk melihat megahnya bangunan ini. walaupun dari bawah dah agak putus asa liat tangga untuk ke atas dan karena cuaca yg terik ternyata terbayar dengan keindahan dan belaian angin sepoi2 setelah sampe di candi utamanya. oo iya dari semarang ke candi borobudur dapat di tempuh selama 1.5-2 jam tergantung jalan macet atau tidaknya.;Ditulis pada 5 Mei 2014
Hendra H;Pertama x saya ke candi borobudur.. sy sudah suka dgn suasananya... candi ini mempunyai suatu kharisma yang tiada duanya. Percaya ga percaya, ada mitos.. apabila kita bisa menggapai tangan sang Buddha di dlm stupa, maka keinginan kita bisa terwujud....;Ditulis pada 1 Mei 2014
Mariana_Zhao;CANDI NYA SUPER LUAR BIASA, NAMUN KURANG PERHATIAN NEGARA DALAM MELESTARIKANNYA. BANYAK PATUNG YG KEPALA NYA HILANG... ASET NEGARA YA HARUS DI LESTARIKAN ... BAGI YANG SENGAJA MENGHANCURKAN, MENJUAL, MERUSAK ASET NEGARA YANG SELUARBIASA INI PATUT DI JERAT HUKUM. Saya beruntung banget kesana pas lagi langit cerah banget, saran saya kalo di tambah musik musik jadul, musik musik yang berbau budaya sambil menemani orang yg berkunjung kayaknya lumayan oke. suasananya asri banget di keliling pohon. kalo pergi ya sewa mobil aja ...sekalian city tour ke tempat lain juga. soalnya lokasi lumayan jauh. sepantasnya di bikin jalan tol, dan dipoles dan dilestarikan sebaik baiknya.;Ditulis pada 29 April 2014
dexwansangging;Untuk dapat mengunjungi Candi Borobudur, lumayan jauh dengan jarak tempuh sekitar 1,5 jam dari pusat kota Jogyakarta. Akan tetapi hal itu tidak membuat perjalanannya menjadi membosankan, karena kita akan disuguhkan dengan pemandangan alam daerah Selatan Pulau Jawa yang cukup asri dan nyaman. Apalagi kita bisa mampir untuk...Berjln mnju puncak candi lumayan jauh dan melelahkan.dgn keringat bercucuran ttp smngat krn ingin mncapai candi yg terbesarnya.selain itu jg bagus utk hunting foto2...;Ditulis pada 28 April 2014
NdunkIchwan;Capeknya naik tangga akan hilang begitu tiba di puncak candi. Meskipun waktu itu habis turun hujan, tapi tetap saja tidak berkurang keindahannya.;Ditulis pada 27 April 2014
tjanlien_29;walau harus berjalan jauh dan berpanas ria...tapi luar biasa sangat takjub melihat keindahan candi terbesar ini..rasanya tidak pernah bosan,ditambah di kota yogyakarta banyak sekali kuliner unik dan menarik;Ditulis pada 25 April 2014
nenghera;Untuk dapat mengunjungi Candi Borobudur, lumayan jauh dengan jarak tempuh sekitar 1,5 jam dari pusat kota Jogyakarta. Akan tetapi hal itu tidak membuat perjalanannya menjadi membosankan, karena kita akan disuguhkan dengan pemandangan alam daerah Selatan Pulau Jawa yang cukup asri dan nyaman. Apalagi kita bisa mampir untuk sekedar beli oleh-oleh salak pondoh yang merupakan buah asli penduduk lokal setempat yang rasanya manis tanpa ada kecutnya. Tiba di lokasi candi Borobudur, yang pernah menjadi salah satu dari 7 keajaian dunia ini, kita akan disuguhkan oleh pemandangan yang cukup menakjubkan. Betapa megahnya bangunan yang disusun kokoh dari bebatuan jaman dahulu kala yang penuh dengan ukiran/relief serta disusun secara apik dan dilenggkapi dengan berbagai jenis patung sesuai dengan aliran agama Budha. Walau kelelahan menyelimuti, kita akan mendapat kepuasan tersendiri manakala dapat mencapai puncaknya, apalagi jika kita bisa mengabadikan momen indah ini dengan berfoto bersama rekan, sahabat ataupun keluaraga yang pergi bersama. Sayang, karena termakan usia dan anggaran perawatan candi sebagai cagar budaya bangsa Indonesia sanganlah terbatas dan mulai menipisnya rasa nasionalisme, banyak batu ataupun candi yang sudah rusah/tidak semulus aslinya bahkan ada juga yang hilang dicuri oleh tangan-tangan jahil yang tidak bertanggungjawab. Akan tetapi saya tetap bangga menjadi bangian dari bangsa ini yang memiliki bangunan warisan sejarah yang fenomenal dan dikenal seantero jagat raya ini;Ditulis pada 23 April 2014
lia w;Saya sudah beberapa kali berkunjung ke Borobudur. Dan dua kali terakhir tahun lalu dan awal bulan ini dengan membawa beberapa kolega dari luar negeri.Borobudur salah satu kebanggaan saya sebagai orang Indonesia. Karena teman-teman saya dari luar negeri selalu terkagum-kagum melihat keindahannya.Tarif untuk pengunjung dalam negeri dan luar negeri berbeda, untuk orang Indonesia hanya dikenakan tarif Rp. 30.000,- saja. Tapi untuk wisatawan mancanegara, mereka harus membayar $ 20.;Ditulis pada 23 April 2014
Imeltika O;Berjln mnju puncak candi lumayan jauh dan melelahkan.dgn keringat bercucuran ttp smngat krn ingin mncapai candi yg terbesarnya.selain itu jg bagus utk hunting foto2...;Ditulis pada 20 April 2014
;;
Januardiantama;Sebuah cerita terukir disetiap dinding candi ini, menceritakan kemegahan ia dahulu. dapat diakses via darat dari Jogja sekitar 1,5 jam. Sayang kebanggaan ini agak mulai terpendam karena banyak patung-patung budha yang tak lengkap lagi, relief yang tak lagi jelas tetapi dibanyaknya kekurangan tersebut masih banyak orang yang peduli. Panorama yang dijanjikan sangat melegakan, sawah, hijau, tentram.;Ditulis pada 20 April 2014
Dewi P;Sudah lama saya menyimpan keinginan untuk mengunjungi candi terbesar nusantara ini. Namun ketika impian tersebut terwujud saya agak kecewa dengan banyaknya penjual dan ulah pengunjung yang kurang tertib.Untuk mengunjungi Candi Borobudur, kami berdua melaju dengan motor kurang lebih dua jam. Setelah parkir kami bergegas ke loket. Untuk menuju loket kami harus rajin menghindari deretan penjual yang dengan agresif terus mendekati wisatawan. Loket untuk wisatawan domestik dan wisatawan asing dibedakan. Tentunya harganya pun berbeda. Saya mendapat harga Rp 30 ribu. Setelah masuk kami disarankan untuk mengenakan selendang. Borobudur memang indah dan fantastis. Reliefnya masih dapat dibaca dan bangunannya pun seindah seperti yang ada di majalah atau televisi. Ada banyak stupa di sini. Sayangnya ada banyak pengunjung yang dengan santainya duduk-duduk di atas stupa. Padahal ada petugas di sini namun rupanya masih banyak pengunjung yang nakal dan kurang menghargai budaya. Setelah puas berfoto dan mengagumi Borobudur kami pun bergegas pulang. Rupanya menuju pintu keluar cukup menyusahkan karena melewati puluhan kios pedagang.;Ditulis pada 20 April 2014
Fiska M;Jogja dan sekitarnya memang belum terlalu ramah soal transportasi..Perjuangan kami menuju candi borobudur dimulai dari malioboro, mengandalkan bus trans jogja yang intervalnya cukup lama bus demi bus serta kapasitasnya yang tidak bisa memuat banyak penumpang,,Perjalanan ke borobudur dilanjutkan dengan bus yang juga bukan bus yang nyaman,, setiba disana harus dilanjutkan dengan becak, atau pilihannya berjalan kaki cukup jauh..Kenapa pemerintah tidak dapat menyediakan transportasi yang lebih baik untuk objek wisata ini..??Untuk keindahannya, 4 jempol buat candi borobudur..;Ditulis pada 2 April 2014
Dyon A;Candi ini begitu megah dan indah. Lukisan pahat di dinding candi pun begitu menakjubkan. Cobalah ke candi borobudur pada pagi hari sehingga bisa melihat pemandangan sunrise dengan pegunungan disekitar candi;Ditulis pada 30 Maret 2014
retneebo0;Objek wisata yang satu ini pastinya sudah banyak yang berkunjung. Salah satu candi peninggalan dr sejarah ini msh berdiri kokoh walopun ada beberapa bangunan yang mulai rusak karena memang sudah berusia tua maupun krn ulah tangan2 jahil... Untuk mencapai keatasnya kita perlu menempuh perjalanan yang jauh apalagi disaat harus meniaiki anak tangga yang cukup banyak dan lumayan meletihkan... Tetapi setelah sampai diatas kita bisa melihat pemandangan yang indah dari ketinggian...;Ditulis pada 27 Maret 2014
Imanche AlRachman;Letak kawasan candi borobudur yang berada sedikit lebih tinggi dengan kawasan lainnya disekitar, sehingga menjadikan suasana panas khas daerah tropis begitu terasa ketika mengelilingi kawasan candi, apalgi jika waktu berkunjung pada pagi hingga siang hari,untuk mencegah itu cukup menyiapkan topi pelindung kepala dan membawa air mineral yang cukup.. Untuk yang merencanakan berkunjung dengan membawa keluarga, saya menyarankan untuk berkunjung pada sore hari pukul 4. Usahakan saat di sekitar candi menjelang sunset, jadi suasana peradaban masa lalu akan berpadu dengan panorama sunset...;Ditulis pada 24 Maret 2014
Medrel;Ini saya rasa kompleks candi terbesar di Indonesia, ada pahatan cerita dan sejarah indonesia yang sangat menarik untuk diketahui. Ada musium juga di dalam kompleks candi ini.;Ditulis pada 13 Maret 2014
abangdon;Setiap perjalanan darat kami dari Surabaya ke Bandung selalu berusaha menyempatkan untuk datang ke sini.. Terletak di Magelang...Tidaklah sulit untuk menemukannya karena banyak petunjuk. Namun banyak juga ornamen ornamen seperti patung yang sudah tidak lengkap..seharusnya dilengkapi lebih banyak cctv untuk menjaga kelestarian supaya tidak diambil oleh orang orang yg tidak bertanggung jawab. Bagi Andayang ingin menginap di seputar candi saya lihat banyak hotel disini.Anda harus mempunyai tenaga yang kuat, karena banyak anak tangga yang cukup terjal untuk di daki menuju puncak candi. Indah sekali pemandangannya apabila anda sampai di puncak candi borobudur;Ditulis pada 12 Maret 2014
zakiy_m;tempat yang bagus untuk berlibur dengan anak-anak. memperkenalkan anak dengan salah satu peninggalan peradaban budha. juga mengajarkan toleransi serta ibadah umat agama lain.;Ditulis pada 12 Maret 2014
BenyaminD;Candi ini kalau dibandingkan dengan candi yang lain sangat luar biasa. Candi tersebut benar2 salah satu keajaiban di dunia yang harus di kungjungi kalau menurut saya. Saya sudah pergi ke candi yang lain (di negara yang lain) dan tidak ada yang sebagus Borobudur.;Ditulis pada 11 Maret 2014
;;
s03r;Salah satu keajaiban dunia yang wajib di kunjungi.Cuman sayang banyak sekali patungnya yang tidak ada kepalanya.Fasilitas yang disediakan juga sudah lumayan banyak, ada juga andong yang siap mengantar kita jalan-jalan keliling desa.;Ditulis pada 10 Maret 2014
Emy s;Candi yang indah untuk menikmari matahari terbit. akan lebih baik apabila kita mempunyai stamina yang cukup bagus karena candi Borobudur sangat luas dan banyak sekali anak tangga yang Anda daki untuk sampai ke puncaknya, akan tetapi Anda akan menikmati pemandangan yang sangat indah di puncak Candi. Apabila anda tidak sanggup sampai ke atas, relief-relief candi juga sangat bagus untuk dinikmati terutama apabila Anda penggemar fotografi.;Ditulis pada 6 Maret 2014
alinuri;Saya sangat kagum sekali pada saat pertama kali berkunjung kesana, saya membayangkan bagaimana orang jaman dahulu membangun candi yang semegah ini sedangkan dijaman dulu tidak ada alat alat berat seperti sekarang ini, konon katanya untuk merekatkan batu yang satu dengan yang lainnya hanya dengan putih telur, saya tidak dapat membayangkan berapa juta telur yang dibutuhkan untuk merekatkan batu-batu gunung tersebut, belum lagi dengan lokasi yang terletak diatas dataran tinggi bagaimana cara mengangkut materialnya kesana, apa mungkin menggunakan tenaga jin seperti dalam legenda pembangunan candi prambanan atau candi loro jongrang hanya orang jaman dulu yang tahu dan Yang Maha Kuasa yang tahu tentang rahasia pembangunan candi Borubudur tersebut, belum lagi dengan keindahan reliefnya yang terpahat di dinding candi,tentu kita sangat kagum dengan cita rasa seni yang tinggi orang pada zaman dahulu, jadi hanya satu kata yang dapat kita ucapkan tentang candi Borubudur yakni luar biasa dan harus kita jaga kelestariannya untuk anak cucu kita dimasa yang akan datang.;Ditulis pada 6 Maret 2014
bangunfirdaus;pertama sekali ke yogyakarta tempat yang kami datangi adalah candi borobudur, pengelolaanya sangat baik dan menyenangkan, taman dan museumunya juga cukup bagus,;Ditulis pada 6 Maret 2014
Dian C;pemandangan sunrise di borobudur begitu menawan. hawanya sejuk, belum banyak orang mengunjungi saat pagi hari. untuk yang suka fotografi saya sarankan untuk mengambil sebelum jam 9 pagi.;Ditulis pada 6 Maret 2014
Konek;Candi Borobudur adalah salah satu tempat wisata yang harus di kunjung bukan karena sebagai peninggalan sejarah tetapi Candi ini memang sangat megah sekali. Bagi lansia dan anak anak sebaiknya mengunjunggi Borobudur tidak pada saat liburan karena ramai sekali apalagi dari pintu gerbang menuju Candi cukup jauh harus jalan kaki.Sampai di kaki candi pun harus naik tangga yang cukup tinggi serta menuju puncak Stupa harus mendaki tangga candi yang tinggi. Walaupun kita tidak langsuk menuju puncak Candi tapi ini cukup melelahkan bagi lansia dan anak anak.;Ditulis pada 22 Februari 2014
Irpan Batubara;Karya peninggalan sejarah yang berkelas dunia. Saya merasa sangat beruntung dapat berkunjung dan meyaksikan sendiri ukiran dan keistimewaan relief-relief yang ada di sini. Saya semakin menghargai arti sejarah.;Ditulis pada 14 Februari 2014
Tiara_N312;Candi Borobudur, candi termegah yang pernah saya kunjungi,saya tidak habis pikir dengan arsitek candi tersebut, benar-benar mahakarya yang spektakuler dan luar biasa di jaman dulu dan jaman sekarang. Candi yang berdiri megah ini,tetap tidak lekang oleh waktu, ini terbukti dengan tidak memudarnya warna candi dan tetap berdiri dengan kokoh, salut untuk arsitek candi ini. Kawasan candi bersih dan asri, karena saat menuju candi ada banyak pohon peneduh dan suasana terasa sejuk, tarif masuk per orang Rp.30.000,-,waktu berkunjung kesana suasana sangat ramai karena masih dalam suasana liburan, dan cuacanya mendung dan gerimis, jadi susah untuk mengabadikan foto, karena banyak pengunjung yang menggunakan payung, tapi terlepas dari itu semua....Borobudur so awesome;Ditulis pada 21 Januari 2014
handokoko;pertama kali melihat borobudur pasti merasakan candi ini sungguh luar biasa, sungguh megah dan tidak ternilai harganya. Masuk ke parkiran kita akan sedikit confuse dengan arah jalan karena harus melewati jajaran kios2 cinderamata. But just following the sign of Entrance. Setelah membayar tiket, untuk menunju ke candi borobudur, anda tinggal memiilih menggunakan kereta wisata atau berjalan kaki sekitar 300-500meter. Saat kami kesana candi borobudur sangat ramai karena saat libur sekolah/akhir tahun, dan mengurangi kenyamanan, terutama saat naik turun tangga yg curam & sulitnya mencari moment untuk berfoto. Ditambah cuaca mendung dan terkadang gerimis turun. Saran kami untuk berkunjung ke borobudur adalah pagi hari jam 6 loket sudah buka saat itu pengunjung belum ramai, dan cuaca masih belum panas. Apalagi lebih bagus menikmati sunrise menggunakan paket dari hotel-hotel disekitar borobudur dan anda menginap malam sebelumnya di hotel tsb.Banyak Objek wisata lain di kompleks candi borobudur, seperti naik kuda, museum, film dokumenter ttng borobudur, penangkaran gajah. dll. Anda bisa seharian menikmati wisata borobudur. Satu lagi jangan lupa mengingat posisi parkir mobil...;Ditulis pada 16 Januari 2014
FajarAP;Perjalanan ke Borobudur yang kedua kali, setelah yang terakhir kali adalah 10 tahun yang lalu.Tarif masuk perorang 30k, Area Candi cukup bersih dan dijaga oleh petugas yang tersebar disegala penjuru.Borobudur Very Nice !;Ditulis pada 4 Januari 2014
;;
damayanti2013;Pengalaman di candi Borobudur seru, menyenangkan & menjadi pengalaman yg harus terulang kembali nantinya.meskipun harus berpanas2an disana,. tp sebanding dengan kekagumanan terhadap tempat bersejarah itu,.semoga suatu saat bisa kembali lg kesana,. soal foto2 waaahhhh dijamin kameranya bakalan habis batrei & yg jd model pun bakalan kehabisan gaya,.. hahahahahaaaaaa,..tips : topi, payung & air minum wajib dibawa,. makanan dilarang masuk :PIndonesia ku :);Ditulis pada 30 Desember 2013
Tephgustan;Ditempuh kurang lebih 1 jam dari Yogyakarta dengan menggunakan mobil. Lebih baik dikunjungi pada waktu pagi hari jadi tidak terasa panas. Di pintu depan kita akan dikerumuni oleh para pedagang yang menawarkan payung dan topi untuk di dalam borobudur. Harga sewa payung adalah Rp. 5.000,- untuk selama di dalam. Sedangkan jika sewa di dalam hanya Rp. 3.000,- per buah. Untuk harga tiket masuk domestik adalah Rp. 30.000,-.Kita akan dipinjamkan kain batik selama di dalam untuk menjaga kesopanan. dari pintu masuk kita akan jalan kaki 10 menit untuk masuk ke kawasan Candi.Tangga menuju candi atas cukup tinggi sehingga diberikan pegangan di sisi kanan dan kiri.. Namun semuanya terbayar ketika sampai di atas.. Pemandangannya sangat bagus.. Banyak sisi candi yang mulai rusak akibat gempa, abu gunung merapi, dan kerusakan alam. banyak juga petugas diatas untuk mengatur para wisatawan agar tidak memanjat stupa atau lainnya.Rekomen sekali untuk dikunjungi.;Ditulis pada 9 Desember 2013
dewi_naglilya;Meski lagi hamil saat berkunjung ke sini...namun berhasil jg naik ke puncak tertingginya...?????????? ??????? ????? ??????????????? nggak bakal nyesel melihat salah satu keajaiban dunia yg satu ini...puas banget melihat indahnya artistik milik indonesia ini;Ditulis pada 7 Desember 2013
ernasiahaan;Luaaaaar Biasaaa....Benar2 Luar Biasa....Untuk photo2 ga ada abisnya deh...cuma abis gaya aja...:Dtapi harus benar2 persiapan, karena panas bageeeeeet...Banyak oleh2 nya juga...yang pasti ga akan terlupakan akan keindahan Candi Borobudur...wajib dikunjungin klo keyogya....;Ditulis pada 3 Desember 2013
tjutjukbs;Candi Borobudur merupakan bagian yang tak terpisahkan dengan Agama Budha.Waisak merupakan upacara relegius umat Budha.Candi ini belum ada tandingannya di dunia tentang besar dan hasil seninya.Dapat dibayangkan pada abad ke 8 orang Indonesia bisa buat Candi semegah itu.;Ditulis pada 29 November 2013
elgasnopie;sejak erupsi merapi, pemugaran candi Borobudur sangat rapi. Pedagang kaki lima sudah memiliki tempat berjualan yang teratur.;Ditulis pada 26 November 2013
991FACEBOOK;Candi borobudur... adalah candi buda termegah di pulau jawa ( indonesia ), jadi anda harus singgah bila ke jogjakarta dan jawa tengah untuk melihat nya....??   ( BETAPA ANGGUN DAN MEGAH NYA);Ditulis pada 10 November 2013
DekkiDesmond;Tempat yang indah,,,salah satu keajaiban dunia (Seven Wonder of The World) terletak di daerah pegunungan dan udaranya segar......ada sebuah mitos,,,bila kita bisa meraih patung yang terdapat di dalam stupa,,,apapun cita2 kita bisa tercapai...;Ditulis pada 9 November 2013
Listiaji;Candi peninggalan umat Budha ini meninggalkan kesan megah dan eksotis, namun akan lebih menyenangkan bila kita juga menginap di kawasan Borobudur agar kita dapat menikmati suasana matahari terbit di pagi hari, suatu pengalaman yang luar biasa.Catatan lainnya, berhati-hatilah dengan tukang becak, bila kita tidak menawar dengan tegas harga yang harus dibayar, mereka akan minta bayaran semaunya yang tidak masuk akal. Terus terang daripada berurusan dengan tukang becak, lebih baik jalan kaki. Jangan lupa juga untuk bawa payung, kalo tidak j\hujan, panasnya luar biasa.;Ditulis pada 5 November 2013
Clarissa W;Menginap di Hotel Catur,yang terletak di jalan besar Magelang-Muntilan, saya melihat panah ke Candi Borobudur. Dengan bis dari depan Hotel, saya berwisata ke candi Borobudur, mudah pencapaian dan dekat, setelah sampai pangkalan, saya melanjutkan dengan Andong/kereta Kuda sampai Candi Borobudur..... Betapa Anggun, Megah dan Indahnya Candi Borobudur. saya pikir dengan usia 48th saya tidak sanggup mencapai puncak,,,,,namun mistery candi Borobudur membuat saya tidak pantang menyerah untuk menapaki tangga demi tangga, dan sampailah saya pada puncaknya..... Luar Biasa Kebesaran Tuhan bagi negara Indonesia tercinta.;Ditulis pada 24 Oktober 2013
;;
l0vely99;sebenarnya candi ini lumayan bagus , tapi karna pernah mengalami pemboman , ada beberapa stupa yg rusak. kalau melihat hanya dari fotonya saya pikir candi ini sangat besar sekali.ternyata tidak sebesar dan seluas yg terlihat difoto. tapi tetap saja perlu tenaga yg banyak untuk mencapai puncak stupa karna undakannya ( tangga ) menuju keatas cukup cukup tinggi. hal yg paling menjengkelkan adalah banyaknya sampah dan coretan coretan tangan tak bertangung jawab ditempat yang seharusnya menjadi tempat suci bagi pemeluk umat budha ini, dan dari apa yg terlihat candi ini jg kurang terawat dan mendapat perhatian dari pemda setempat;Ditulis pada 3 Oktober 2013
Gugun173;Borobudur..ya candi borobudur mungkin sudah terlihat biasa walau ia adalah salah satu keajaiban dunia...dan bagi orang sudah sering berkali-kali keborobudur baik itu diwaktu pagi siang maupun malam...maka akan terlihat sama....tapi akan terlihat indah bila anda melihat dari sudut yang berbeda...saran saya anda kebelakan candi borobudur dan pergi keputchuk setumbu disaat fajar atau pun senja..maka anda akan melihat ciptaan manusia yang berbanding dengan ciptaan Tuhan...jika anda penasaran seperti apa yg saya ungkapkan...maka coba lah dan rasakan...;Ditulis pada 8 September 2013
RahmahDani;hy teman in adalh tempat yg msti qmu kunjungi jika qmu ada di Jawa,,di sini kmu bisa bertemu dgn org luar negri dan qmu bisa mengjakx berbincang n berfoto bersama;Ditulis pada 7 September 2013
FElli739;Pengalaman pertama kali Saya untuk berkunjung di BROBUDUR...& hal ini tidak dapat saya lupakan, apa lagi saya pergi bareng keluarga.Brobudur memiliki keindahan tersendiri.Pokoknya BROBUDUR Okey;Ditulis pada 4 September 2013
wanzjemla;Menakjubkan.,dari awalnya hanya 1 batu.,akhirnya bisa menjadi salah satu keajaiban dunia.!! jika berkunjung ke borobudur bisa meningkatkan rasa kekaguman kita pada hasil karya manusia indonesia jaman dahulu.,harus kita jaga dan lestarikan.!;Ditulis pada 12 Agustus 2013
ulli786;Sudah ke-3 kalinya saya mengunjungi Borobudur. Tapi decak kagum masih keluar dari mulut saya. Walaupun panas, tapi tidak mengurangi semangat untuk berkeliling Candi yang megah ini.;Ditulis pada 9 Agustus 2013
nnt77_wisata;Candi Borobudur merupakan sebuah candi yang ajaib yang diciptakan manusia pada jamannya.Mungkin kalau kita disuruh membuat candi yang sama dengan candi Borobudur saya ragu atau pastinya tidak mampu membuat sama seperti candi tersebut. Sebagai peninggalan sejarah dari nenek moyang kita mari kita sama-sama menjaga dan merawatnya agar wisatawan dunia dan anak cucu kita kelak masih bisa melihat keajaiban sebuah karya manusia yang unik dan penuh makna.;Ditulis pada 7 Agustus 2013
andibastian;Ke candi borobudur jarak hanya 20 menit dari kota Magelang..Candi yg dikenal seantero..menjadi kenangan yg tidak terlupakan;Ditulis pada 5 Agustus 2013
Harijanto;Candi Borobudur merupakan salah satu candi yang terbesar di indonesia maupun di seluruh dunia , candi ini merupakan cagar budaya dunia dan merupakan tempat ibadah umat buddha di seluruh dunia , dimana selain sangat luas lokasinya dan juga sangat tinggi yang terdiri dari beberapa tingkat berbenuk persegi empat sama sisi dan juga banyak stupa serta patung buddha dalam posisi duduk , yang lebih menakjubkan yaitu seluruh dinding candi banyak relief yang menggambarkan kehidupan sang buddha dan ajarannya .untukmencapai lokasi ini juga sangat muda sekali karena banyak kendaraan umum yang menuju ke lokasi ini .Disekitar candi banyak orang jual cendera mata terdiri dri berbagai bentuk miniatur candi maupun buddha serta pernik-perniknya;Ditulis pada 21 Juli 2013
nono300669;karya budaya yang sangat mengagumkanbangsa indonesia harus bangga memilikinyaajak sanak kluarga anda untuk berkunjung ke situsbudaya candi borobudur ini.jangan sampai anak cucu kita nanti tidak bisa mengenalbudaya sendiri;Ditulis pada 20 Juli 2013
;;
Mahalul;di Dunia dan diantaranya yg terletak di indonesia, Candi Borobudu peninggalan bersejarah dari kerajaan hindu budha, kita sebagai manusia hannya, untuk Merawatnya dan menjaganya, jangan sampai peninggalan ini hancur,.;Ditulis pada 20 Juli 2013
